2022.01,Amethyst
2022.02,Apatite
2022.03,Aquamarine
2022.04,Azurite
2022.05,Biotite
2022.06,Calcite
2022.07,Citrine
2022.08,Diamond
2022.09,Emerald
2022.10,Fluorite
2022.11,Garnet
2022.12,Kyanite
2023.01,Lapis Lazuli
2023.02,Malachite
2023.03,Olivine
2023.04,Rhodonite
2023.05,Ruby
2023.06,Sapphire
2023.07,Sodalite
2023.08,Spinel
2023.09,Tanzanite
2023.10,Topaz
2023.11,Tourmaline
2023.12,Zircon
2024.01,Alexandrite
2024.02,Amazonite
2024.03,Andalusite
2024.04,Anglesite
2024.05,Aragonite
2024.06,Bayldonite
2024.07,Beryllonite
2024.08,Brazilianite
2024.09,Bytownite
2024.10,Bytownite
2024.11,Cassiterite
2024.12,Celestite
